rCut Vs Percentages	Au38_Au38_original_Au38_twist_[1,1,1]_axis_10_degrees_oneFace_rCut_2.884_4.0786-0.0005_CNA_tolerance_0
2.884	0.0
2.8845	0.0
2.885	63.1578947368
2.8855	63.1578947368
2.886	63.1578947368
2.8865	63.1578947368
2.887	63.1578947368
2.8875	63.1578947368
2.888	63.1578947368
2.8885	63.1578947368
2.889	63.1578947368
2.8895	63.1578947368
2.89	63.1578947368
2.8905	63.1578947368
2.891	63.1578947368
2.8915	63.1578947368
2.892	63.1578947368
2.8925	63.1578947368
2.893	63.1578947368
2.8935	63.1578947368
2.894	63.1578947368
2.8945	63.1578947368
2.895	63.1578947368
2.8955	63.1578947368
2.896	63.1578947368
2.8965	63.1578947368
2.897	63.1578947368
2.8975	63.1578947368
2.898	63.1578947368
2.8985	63.1578947368
2.899	63.1578947368
2.8995	63.1578947368
2.9	63.1578947368
2.9005	63.1578947368
2.901	63.1578947368
2.9015	63.1578947368
2.902	63.1578947368
2.9025	63.1578947368
2.903	63.1578947368
2.9035	63.1578947368
2.904	63.1578947368
2.9045	63.1578947368
2.905	63.1578947368
2.9055	63.1578947368
2.906	63.1578947368
2.9065	63.1578947368
2.907	63.1578947368
2.9075	63.1578947368
2.908	63.1578947368
2.9085	63.1578947368
2.909	63.1578947368
2.9095	63.1578947368
2.91	63.1578947368
2.9105	63.1578947368
2.911	63.1578947368
2.9115	63.1578947368
2.912	63.1578947368
2.9125	63.1578947368
2.913	63.1578947368
2.9135	63.1578947368
2.914	63.1578947368
2.9145	63.1578947368
2.915	63.1578947368
2.9155	63.1578947368
2.916	63.1578947368
2.9165	63.1578947368
2.917	63.1578947368
2.9175	63.1578947368
2.918	63.1578947368
2.9185	63.1578947368
2.919	63.1578947368
2.9195	63.1578947368
2.92	63.1578947368
2.9205	63.1578947368
2.921	63.1578947368
2.9215	63.1578947368
2.922	63.1578947368
2.9225	63.1578947368
2.923	63.1578947368
2.9235	63.1578947368
2.924	63.1578947368
2.9245	63.1578947368
2.925	63.1578947368
2.9255	63.1578947368
2.926	63.1578947368
2.9265	63.1578947368
2.927	63.1578947368
2.9275	63.1578947368
2.928	63.1578947368
2.9285	63.1578947368
2.929	63.1578947368
2.9295	63.1578947368
2.93	63.1578947368
2.9305	63.1578947368
2.931	63.1578947368
2.9315	63.1578947368
2.932	63.1578947368
2.9325	63.1578947368
2.933	63.1578947368
2.9335	63.1578947368
2.934	63.1578947368
2.9345	63.1578947368
2.935	63.1578947368
2.9355	63.1578947368
2.936	63.1578947368
2.9365	63.1578947368
2.937	63.1578947368
2.9375	63.1578947368
2.938	63.1578947368
2.9385	63.1578947368
2.939	63.1578947368
2.9395	63.1578947368
2.94	63.1578947368
2.9405	63.1578947368
2.941	63.1578947368
2.9415	63.1578947368
2.942	63.1578947368
2.9425	63.1578947368
2.943	63.1578947368
2.9435	63.1578947368
2.944	63.1578947368
2.9445	63.1578947368
2.945	63.1578947368
2.9455	63.1578947368
2.946	63.1578947368
2.9465	63.1578947368
2.947	63.1578947368
2.9475	63.1578947368
2.948	63.1578947368
2.9485	63.1578947368
2.949	63.1578947368
2.9495	63.1578947368
2.95	63.1578947368
2.9505	63.1578947368
2.951	63.1578947368
2.9515	63.1578947368
2.952	63.1578947368
2.9525	63.1578947368
2.953	63.1578947368
2.9535	63.1578947368
2.954	63.1578947368
2.9545	63.1578947368
2.955	63.1578947368
2.9555	63.1578947368
2.956	63.1578947368
2.9565	63.1578947368
2.957	63.1578947368
2.9575	63.1578947368
2.958	63.1578947368
2.9585	63.1578947368
2.959	63.1578947368
2.9595	63.1578947368
2.96	63.1578947368
2.9605	63.1578947368
2.961	63.1578947368
2.9615	63.1578947368
2.962	63.1578947368
2.9625	63.1578947368
2.963	63.1578947368
2.9635	63.1578947368
2.964	63.1578947368
2.9645	63.1578947368
2.965	63.1578947368
2.9655	63.1578947368
2.966	63.1578947368
2.9665	63.1578947368
2.967	63.1578947368
2.9675	63.1578947368
2.968	63.1578947368
2.9685	63.1578947368
2.969	63.1578947368
2.9695	63.1578947368
2.97	63.1578947368
2.9705	63.1578947368
2.971	63.1578947368
2.9715	63.1578947368
2.972	63.1578947368
2.9725	63.1578947368
