rCut Vs Percentages	Au38_Au38_original_Au38_twist_[1,1,1]_axis_10_degrees_rCut_2.884_4.0786-0.0005_CNA_tolerance_0
2.884	0.0
2.8845	0.0
2.885	10.5263157895
2.8855	10.5263157895
2.886	10.5263157895
2.8865	10.5263157895
2.887	10.5263157895
2.8875	10.5263157895
2.888	10.5263157895
2.8885	10.5263157895
2.889	10.5263157895
2.8895	10.5263157895
2.89	10.5263157895
2.8905	10.5263157895
2.891	10.5263157895
2.8915	10.5263157895
2.892	10.5263157895
2.8925	10.5263157895
2.893	10.5263157895
2.8935	10.5263157895
2.894	10.5263157895
2.8945	10.5263157895
2.895	10.5263157895
2.8955	10.5263157895
2.896	10.5263157895
2.8965	10.5263157895
2.897	10.5263157895
2.8975	10.5263157895
2.898	10.2564102564
2.8985	10.2564102564
2.899	10.2564102564
2.8995	10.2564102564
2.9	10.2564102564
2.9005	10.2564102564
2.901	10.2564102564
2.9015	10.2564102564
2.902	10.2564102564
2.9025	10.2564102564
2.903	10.2564102564
2.9035	10.2564102564
2.904	10.2564102564
2.9045	10.2564102564
2.905	10.2564102564
2.9055	10.2564102564
2.906	10.2564102564
2.9065	10.2564102564
2.907	10.2564102564
2.9075	10.2564102564
2.908	10.2564102564
2.9085	10.2564102564
2.909	10.2564102564
2.9095	10.2564102564
2.91	10.2564102564
2.9105	10.2564102564
2.911	10.2564102564
2.9115	10.2564102564
2.912	10.2564102564
2.9125	10.2564102564
2.913	10.2564102564
2.9135	10.2564102564
2.914	10.2564102564
2.9145	10.2564102564
2.915	10.2564102564
2.9155	10.2564102564
2.916	10.2564102564
2.9165	10.2564102564
2.917	10.2564102564
2.9175	10.2564102564
2.918	10.2564102564
2.9185	10.2564102564
2.919	10.2564102564
2.9195	10.2564102564
2.92	10.2564102564
2.9205	10.2564102564
2.921	10.2564102564
2.9215	10.2564102564
2.922	10.2564102564
2.9225	10.2564102564
2.923	10.2564102564
2.9235	10.2564102564
2.924	10.2564102564
2.9245	10.2564102564
2.925	10.2564102564
2.9255	10.2564102564
2.926	10.2564102564
2.9265	10.2564102564
2.927	10.2564102564
2.9275	10.2564102564
2.928	10.2564102564
2.9285	10.2564102564
2.929	10.2564102564
2.9295	10.2564102564
2.93	10.2564102564
2.9305	10.2564102564
2.931	10.2564102564
2.9315	10.2564102564
2.932	10.2564102564
2.9325	10.2564102564
2.933	10.2564102564
2.9335	10.2564102564
2.934	10.2564102564
2.9345	10.2564102564
2.935	10.2564102564
2.9355	10.2564102564
2.936	10.2564102564
2.9365	10.2564102564
2.937	10.2564102564
2.9375	10.2564102564
2.938	10.2564102564
2.9385	10.2564102564
2.939	10.2564102564
2.9395	10.2564102564
2.94	10.2564102564
2.9405	10.2564102564
2.941	10.2564102564
2.9415	10.2564102564
2.942	10.2564102564
2.9425	10.2564102564
2.943	10.2564102564
2.9435	10.2564102564
2.944	10.2564102564
2.9445	10.2564102564
2.945	10.2564102564
2.9455	10.2564102564
2.946	10.2564102564
2.9465	10.2564102564
2.947	10.2564102564
2.9475	10.2564102564
2.948	10.2564102564
2.9485	10.2564102564
2.949	10.2564102564
2.9495	10.2564102564
2.95	10.2564102564
2.9505	10.2564102564
2.951	10.2564102564
2.9515	10.2564102564
2.952	10.2564102564
2.9525	10.2564102564
2.953	10.2564102564
2.9535	10.2564102564
2.954	10.2564102564
2.9545	10.2564102564
2.955	10.2564102564
2.9555	10.2564102564
2.956	10.2564102564
2.9565	10.2564102564
2.957	10.2564102564
2.9575	10.2564102564
2.958	10.2564102564
2.9585	10.2564102564
2.959	10.2564102564
2.9595	10.2564102564
2.96	10.2564102564
2.9605	10.2564102564
2.961	10.2564102564
2.9615	10.2564102564
2.962	10.2564102564
2.9625	10.2564102564
2.963	10.2564102564
2.9635	10.2564102564
2.964	10.2564102564
2.9645	10.2564102564
2.965	10.2564102564
2.9655	10.2564102564
2.966	10.2564102564
2.9665	10.2564102564
2.967	10.2564102564
2.9675	10.2564102564
2.968	10.2564102564
2.9685	10.2564102564
2.969	10.2564102564
2.9695	10.2564102564
2.97	10.2564102564
2.9705	10.2564102564
2.971	10.2564102564
2.9715	10.2564102564
2.972	10.2564102564
2.9725	10.2564102564
2.973	10.2564102564
